2-digit level  MTWP Method of Travel to Work,"Car, as driver","Car, as passenger",Train,Bus,Taxi/ride-share service,Bicycle,Walked only,Total
40000270000,24,0,0,3,0,0,11,34
40000900000,21,0,0,9,0,3,6,37
40001930000,4,0,0,3,0,0,4,8
40001960000,8,0,0,5,0,0,3,13
40002710000,9,0,0,0,0,0,0,10
40002830000,21,4,0,0,3,0,13,35
40003650000,0,0,0,0,0,0,0,0
40000251000,0,0,0,0,0,0,3,9
40000253000,0,0,0,0,0,0,0,0
40000261000,0,0,0,0,0,0,3,9
40000262000,3,0,0,3,0,0,3,17
40000721000,0,0,0,0,0,0,0,0
40000722000,0,0,0,4,0,0,0,11
40000723000,0,0,0,0,0,0,0,0
40001970000,13,0,0,0,0,0,0,26
40002680000,11,0,0,5,0,0,0,20
40003540000,8,4,0,7,0,3,0,22
40003730000,9,0,0,8,0,0,8,25
40214967700,0,0,0,0,0,0,0,0
40214969900,6,0,0,0,0,0,7,12
40000110000,16,3,0,5,0,0,0,23
40000311000,0,0,0,0,0,0,7,10
40000312000,0,0,0,0,0,0,0,0
40000320000,0,0,0,0,0,0,4,8
40000891000,0,0,0,0,0,0,0,0
40000892000,0,0,0,0,0,0,0,0
40001990000,10,0,0,5,0,0,7,17
40002010000,11,0,0,0,0,0,6,16
40002450000,12,0,0,0,0,0,8,19
40003622000,0,0,0,0,0,0,0,0
40003670000,16,0,0,0,0,0,0,25
40003740000,14,0,0,0,0,0,4,27
40215011400,10,0,0,0,0,0,0,12
40215255700,3,0,0,0,0,0,0,5
40215276200,0,0,0,0,0,0,0,0
40000120000,11,0,0,3,0,3,4,18
40000130000,6,0,0,0,0,0,0,10
40001250000,6,0,0,0,0,0,3,14
40002000000,20,0,0,0,0,0,5,27
40003610000,3,0,0,0,0,0,0,7
40003680000,18,0,0,6,0,0,7,32
40003790000,0,0,0,0,0,0,0,0
40415190000,0,0,0,0,0,0,0,0
40415200000,0,0,0,0,0,0,0,0
40415210000,0,0,0,0,0,0,0,0
40415220000,0,0,0,0,0,0,0,0
40415230000,0,0,0,0,0,0,0,0
40415240000,0,0,0,0,0,0,0,0
40415380000,0,0,0,0,0,0,0,0
40415390000,0,0,0,0,0,0,0,0
40415400000,0,0,0,0,0,0,0,0
40415410000,0,0,0,0,0,0,0,0
40000280000,17,0,0,5,0,0,0,23
40001480000,16,0,0,3,0,0,0,19
40001910000,8,0,0,0,0,0,3,11
40002660000,27,0,0,4,0,0,0,33
40000340000,19,3,0,3,0,0,3,29
40001940000,26,0,0,0,0,0,0,30
40003470000,15,0,0,4,0,0,0,23
40003560000,22,0,0,5,0,0,5,26
40003640000,16,0,0,0,0,0,4,25
40214967500,0,0,0,0,0,0,3,4
40215244500,7,0,0,0,0,0,0,11
40000252000,35,0,0,3,0,0,7,49
40000820000,33,0,0,4,0,3,0,37
40000910000,0,3,0,0,0,0,0,11
40002630000,7,0,0,6,0,0,5,10
40003660000,0,0,0,0,0,0,0,0
40003750000,4,0,0,0,0,0,9,13
40215023200,0,0,0,0,0,0,0,0
40215023300,42,0,0,3,0,0,11,52
40000520000,0,0,0,0,0,0,0,0
40000600000,0,0,0,0,0,0,0,0
40215247100,0,0,0,0,0,0,0,0
40415010000,0,0,0,0,0,0,0,0
40415020000,0,0,0,0,0,0,0,0
40415030000,0,0,0,0,0,0,0,0
40415360000,0,0,0,0,0,0,0,0
40000080000,0,0,0,0,0,0,0,0
40215067700,0,0,0,0,0,0,0,0
40215141800,0,0,0,0,0,0,0,0
40414940000,0,0,0,0,0,0,0,0
40414950000,0,0,0,0,0,0,0,0
40415120000,0,0,0,0,0,0,0,0
40415130000,0,0,0,0,0,0,0,0
40415140000,0,0,0,0,0,0,0,0
40415180000,0,0,0,0,0,0,0,0
40000190000,7,0,0,6,0,0,9,27
40000210000,10,0,0,5,0,0,3,17
40214967600,8,0,0,5,0,3,8,25
40001900000,23,0,0,0,0,0,8,41
40002650000,24,3,0,3,0,7,5,37
40003510000,26,0,0,5,0,0,4,37
40003520000,21,4,0,6,0,0,0,28
40000100000,25,0,0,5,0,0,4,40
40002170000,12,0,0,0,0,0,3,18
40002640000,21,0,0,3,0,0,3,31
40002671000,0,0,0,0,0,0,0,0
40003500000,12,0,0,5,0,0,3,28
Total,4005,417,106,1197,125,358,3040,9254
